communication,書道,2019-04-08,"着物を着て、書道をします",none
create,大暴れ,2019-05-11,"全力で物を壊したり、叩きつけたり、大暴れがしたい。",none
create,フレンドリーフォームショップ大阪支店,2019-06-04,"フォームを使って色んなものを作る",none
challenge,コインスタンド,2019-06-04,"色んな場所にコインを立てる",https://www.instagram.com/p/ByagJvbDBLa/?utm_source=ig_web_copy_link
image,シャドーパフォーマンス,2019-06-04,"真っ暗な部屋で色んなものに光をあてていろんな影を作る",https://twitter.com/pe_hu_/status/1135957036947001344
create,擬似木陰を作る,2019-07-14,"①いい木かげを見つけたらそれがどういうものだったか写真と文章でインスタのストーリーペフ宛で報告する。
②どういう要素があって何が必要か考え、家にある不要で使えそうなものを持ち寄る。
③擬似木陰を作る。
目をつぶった状態でいい木かげと感じれたら成功",none
challenge,癲狂科学実験,2019-07-29,"サイリウムの中身を使った光の実験",none
challenge,ウォーターテイスティン,2019-07-29,"複数の炭酸水を飲み比べ、どれがどの炭酸水かを当てる遊び",https://www.youtube.com/watch?v=a7wCtD7h-0s
challenge,ふなさんのお天気番組,2020-05-30,"私は風が見えるから、そのやり方をおしえさせてほしい。",https://youtu.be/FuiDfNRwKJA
music,「ラ(だと思う音)」の音合わせ,2020-09-05 -,"みんなで音が合うまで、「ラ(だと思う音)」を歌いましょう",http://la.chottocrazy.pe.hu/
create,藍で染めよう祭り 収穫編,2020-09-13,"ソウさんがタデアイを育てている「みんな農園」へタデアイの収穫に行きました。",https://youtu.be/1OQfTfKUhNo
music,音の出るものをいっぱい並べる,2020-09-13,"ダイソーへ音の出るものの買い物に行きました",https://youtu.be/N4aYdVcuSS0
create,光るご褒美を作ろう,2020-09-20,"透明粘土と蓄光パウダーで光るご褒美を作る",https://youtu.be/mCfVYqpQqCU
create,ピニャータをつくってみよう,2020-10-04,"ピニャータをつくってみよう",https://youtu.be/mg6hORb0dao
create,こす,2020-11-01,"芝生でくつろいだり、植物を植え替えたり、石を磨いたり、光る透明粘土で遊んだり、",http://chottocrazy.pe.hu/2020/pre-event/
challenge,布団で寝ながらお散歩,2020-11-22,"初めての布団で寝ながらお散歩を行いました。",https://youtu.be/wv53krcCmcA
create,藍で染めよう祭り,2020-11-28,"藍で染めよう祭りの練習を行いました",https://youtu.be/Ps2yJRH8fjo
communication,暗闇でおしゃべり会,2021-01-23,"人と話したいけど、注目されたくない。人の視線を感じない環境なら、緊張することなく話せるのではないかと考え「暗闇でおしゃべりしたい」を思いついた。",http://chottocrazy.pe.hu/online/talkshow/
music,KARAOKE,2021-01-31,"Yes, yes, sure! You get up don't stop",https://youtu.be/tvJLIeRkp0U
sports,痛くない棒で叩き合い大会,2021-01-31,"格闘技の様に二人が叩かれても痛くない棒で叩き合い、観客がどちらが本気でだったかを判定し、勝敗を決める大会を開きました。",https://youtu.be/Jj2TT06__kY
create,アクティブパークで大暴れ,2021-01-31,"段ボールでできた洞窟のようなアクティブパークを破壊する大暴れを行いました。",https://youtu.be/YDttIlRWg9s
music,こゝろ,2021-04-03,"音の出るものをいっぱい並べる音楽会",http://chottocrazy.pe.hu/2021/cocoro/
